Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Wed Aug 12 22:18:43 2026,1,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:18:47 2026,2,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:18:52 2026,3,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:18:54 2026,4,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,100, 140, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 4, 0, 9, 151, 1
Wed Aug 12 22:18:56 2026,5,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,102, 142, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 5, 0, 9, 71, 1
Wed Aug 12 22:19:01 2026,6,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:19:03 2026,7,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,98, 140, 89, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 7, 0, 10, 54, 1
Wed Aug 12 22:19:08 2026,8,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:19:10 2026,9,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,100, 142, 94, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 9, 0, 9, 30, 1
Wed Aug 12 22:19:12 2026,10,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,100, 142, 94, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 10, 0, 9, 16, 1
Wed Aug 12 22:19:17 2026,11,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:19:19 2026,12,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,100, 143, 94, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 12, 0, 9, 141, 1
Wed Aug 12 22:19:23 2026,13,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:19:26 2026,14,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0,100, 143, 94, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 14, 0, 9, 230, 1
Wed Aug 12 22:19:30 2026,15,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:19:32 2026,16,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0,100, 142, 94, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 16, 0, 10, 90, 1
Wed Aug 12 22:19:35 2026,17,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0,100, 143, 94, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 17, 0, 9, 144, 1
Wed Aug 12 22:19:37 2026,18,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0,104, 139, 100, 140, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 18, 0, 9, 255, 1
Wed Aug 12 22:19:40 2026,19,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0,100, 142, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 19, 0, 9, 67, 1
Wed Aug 12 22:19:42 2026,20,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0,102, 139, 96, 144, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 20, 0, 9, 207, 1
Wed Aug 12 22:19:44 2026,21,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0,102, 127, 98, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 21, 0, 10, 193, 1
Wed Aug 12 22:19:47 2026,22,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0,102, 139, 98, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 22, 0, 10, 23, 1
Wed Aug 12 22:19:49 2026,23,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0,102, 138, 98, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 23, 0, 9, 100, 1
Wed Aug 12 22:19:51 2026,24,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0,102, 138, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 24, 0, 9, 64, 1
Wed Aug 12 22:19:54 2026,25,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0,102, 139, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 25, 0, 9, 208, 1
Wed Aug 12 22:19:56 2026,26,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0,102, 139, 96, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 26, 0, 10, 185, 1
Wed Aug 12 22:19:59 2026,27,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0,102, 140, 96, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 27, 0, 10, 78, 1
Wed Aug 12 22:20:01 2026,28,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0,102, 138, 96, 140, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 28, 0, 10, 170, 1
Wed Aug 12 22:20:03 2026,29,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0,102, 137, 96, 142, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 29, 0, 10, 69, 1
Wed Aug 12 22:20:06 2026,30,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0,102, 138, 96, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, 0, 30, 0, 9, 198, 1
Wed Aug 12 22:20:10 2026,31,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:20:14 2026,32,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:20:17 2026,33,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0,102, 138, 94, 141, 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 0, 33, 0, 9, 127, 1
Wed Aug 12 22:20:21 2026,34,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:20:26 2026,35,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:20:30 2026,36,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:20:34 2026,37,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Wed Aug 12 22:20:37 2026,38,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0,90, 138, 87, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 14, 0, 38, 0, 9, 178, 1
Wed Aug 12 22:20:39 2026,39,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0,90, 140, 85, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 14, 0, 39, 0, 9, 146, 1
Wed Aug 12 22:20:41 2026,40,7, 3, 5, 20, 0, 100, 2, 4, 1, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0,88, 141, 85, 143, 0, 0, 0, 0, 0, 0, 1, 0, 0, 14, 0, 40, 0, 9, 255, 1
