Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Mon Aug 17 19:48:40 2026,1,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,24, 160, 23, 154, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 62, 1
Mon Aug 17 19:48:44 2026,2,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,26, 163, 19, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 21, 1
Mon Aug 17 19:48:49 2026,3,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,32, 160, 19, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 153, 1
Mon Aug 17 19:48:53 2026,4,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,34, 153, 23, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 140, 1
Mon Aug 17 19:48:58 2026,5,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,30, 158, 19, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 139, 1
Mon Aug 17 19:49:02 2026,6,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,34, 156, 17, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 94, 1
Mon Aug 17 19:49:07 2026,7,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,30, 159, 17, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 173, 1
Mon Aug 17 19:49:11 2026,8,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,30, 159, 17, 157, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 179, 1
Mon Aug 17 19:49:16 2026,9,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,36, 156, 11, 155, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 10, 65, 1
Mon Aug 17 19:49:28 2026,10,12, 1, 8, 20, 0, 10, 8, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
