Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Wed Aug 12 19:45:36 2026,1,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,80, 158, 79, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 9, 172, 1
Wed Aug 12 19:45:41 2026,2,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,82, 158, 77, 160, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 9, 200, 1
Wed Aug 12 19:45:45 2026,3,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,80, 156, 77, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 10, 81, 1
Wed Aug 12 19:45:50 2026,4,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,80, 156, 79, 158, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 10, 179, 1
Wed Aug 12 19:45:54 2026,5,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,80, 156, 77, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 10, 64, 1
Wed Aug 12 19:45:58 2026,6,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,82, 157, 79, 155, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 9, 177, 1
Wed Aug 12 19:46:03 2026,7,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,82, 156, 79, 158, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 0, 10, 246, 1
Wed Aug 12 19:46:07 2026,8,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,78, 154, 72, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 9, 102, 1
Wed Aug 12 19:46:12 2026,9,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,76, 156, 75, 158, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 10, 0, 9, 207, 1
Wed Aug 12 19:46:16 2026,10,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,76, 154, 72, 155, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 11, 0, 11, 3, 1
Wed Aug 12 19:46:21 2026,11,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,78, 155, 75, 156, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 12, 0, 9, 167, 1
Wed Aug 12 19:46:25 2026,12,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,78, 155, 77, 154, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 13, 0, 9, 100, 1
Wed Aug 12 19:46:30 2026,13,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0,80, 157, 75, 157, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 14, 0, 10, 255, 1
Wed Aug 12 19:46:34 2026,14,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0,78, 155, 75, 155, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 15, 0, 10, 194, 1
Wed Aug 12 19:46:39 2026,15,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0,80, 156, 77, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 16, 0, 10, 26, 1
Wed Aug 12 19:46:43 2026,16,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0,80, 153, 77, 156, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 17, 0, 9, 255, 1
Wed Aug 12 19:46:47 2026,17,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0,80, 155, 75, 157, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 18, 0, 9, 90, 1
Wed Aug 12 19:46:52 2026,18,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0,80, 154, 77, 155, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 19, 0, 10, 71, 1
Wed Aug 12 19:46:56 2026,19,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0,84, 159, 79, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20, 0, 9, 211, 1
Wed Aug 12 19:47:01 2026,20,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0,84, 159, 81, 158, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21, 0, 10, 176, 1
