Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Mon Aug 17 22:53:57 2026,1,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,0, 133, 254, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 208, 1
Mon Aug 17 22:53:58 2026,2,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,0, 135, 254, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 208, 1
Mon Aug 17 22:53:59 2026,3,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,4, 137, 4, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 213, 1
Mon Aug 17 22:54:00 2026,4,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,232, 117, 241, 133, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 240, 1
Mon Aug 17 22:54:01 2026,5,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,218, 97, 220, 117, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 240, 1
Mon Aug 17 22:54:02 2026,6,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,4, 136, 4, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 1, 21, 1
Mon Aug 17 22:54:03 2026,7,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,6, 139, 6, 144, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 1, 29, 1
Mon Aug 17 22:54:04 2026,8,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,4, 137, 4, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 1, 20, 1
Mon Aug 17 22:54:05 2026,9,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,234, 119, 241, 132, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 1, 13, 1
Mon Aug 17 22:54:07 2026,10,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Mon Aug 17 22:54:09 2026,11,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Mon Aug 17 22:54:12 2026,12,7, 3, 5, 20, 3, 232, 1, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
