Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Sat Aug 15 07:41:47 2026,1,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,100, 160, 94, 170, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 118, 1
Sat Aug 15 07:41:52 2026,2,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,98, 155, 96, 165, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 192, 1
Sat Aug 15 07:41:57 2026,3,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,100, 155, 94, 166, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 126, 1
Sat Aug 15 07:42:02 2026,4,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,100, 156, 94, 162, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 240, 1
Sat Aug 15 07:42:06 2026,5,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,100, 156, 96, 165, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 129, 1
Sat Aug 15 07:42:11 2026,6,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,100, 154, 96, 168, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 231, 1
Sat Aug 15 07:42:16 2026,7,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,100, 158, 94, 164, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 115, 1
Sat Aug 15 07:42:21 2026,8,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,98, 159, 96, 169, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 114, 1
Sat Aug 15 07:42:25 2026,9,12, 1, 8, 20, 0, 10, 8, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,102, 159, 98, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 193, 1
Sat Aug 15 07:42:30 2026,10,12, 1, 8, 20, 0, 10, 8, 5, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,100, 155, 94, 168, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 8, 177, 1
