Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Thu Aug 13 19:56:56 2026,1,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,64, 163, 60, 171, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 10, 0, 2, 145, 1
Thu Aug 13 19:57:00 2026,2,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,62, 163, 55, 158, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 11, 0, 2, 189, 1
Thu Aug 13 19:57:04 2026,3,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,52, 161, 30, 155, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 12, 0, 2, 179, 1
Thu Aug 13 19:57:09 2026,4,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,12, 158, 8, 157, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 13, 0, 2, 150, 1
Thu Aug 13 19:57:13 2026,5,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,14, 156, 17, 157, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 14, 0, 2, 166, 1
Thu Aug 13 19:57:17 2026,6,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,24, 153, 25, 162, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 15, 0, 2, 191, 1
Thu Aug 13 19:57:22 2026,7,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,64, 162, 55, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 16, 0, 2, 195, 1
Thu Aug 13 19:57:26 2026,8,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,58, 156, 55, 157, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 17, 0, 2, 160, 1
Thu Aug 13 19:57:31 2026,9,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,58, 158, 45, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 18, 0, 2, 171, 1
Thu Aug 13 19:57:35 2026,10,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,46, 155, 45, 157, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 19, 0, 2, 210, 1
Thu Aug 13 19:57:39 2026,11,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,44, 154, 45, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 20, 0, 2, 177, 1
Thu Aug 13 19:57:43 2026,12,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,46, 153, 45, 159, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 21, 0, 2, 207, 1
Thu Aug 13 19:57:48 2026,13,12, 1, 8, 20, 0, 100, 8, 4, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0,46, 155, 45, 158, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 22, 0, 2, 175, 1
