Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Tue Aug 18 06:30:37 2026,1,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,98, 142, 98, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 187, 1
Tue Aug 18 06:30:38 2026,2,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,98, 140, 100, 138, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 171, 1
Tue Aug 18 06:30:39 2026,3,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,102, 138, 100, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 173, 1
Tue Aug 18 06:30:40 2026,4,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,100, 139, 100, 139, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 174, 1
Tue Aug 18 06:30:41 2026,5,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,102, 138, 100, 138, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 172, 1
Tue Aug 18 06:30:43 2026,6,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,100, 141, 100, 139, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 174, 1
Tue Aug 18 06:30:44 2026,7,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,102, 138, 102, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 169, 1
Tue Aug 18 06:30:47 2026,8,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:30:49 2026,9,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:30:52 2026,10,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:30:55 2026,11,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:30:58 2026,12,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:31:00 2026,13,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:31:03 2026,14,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:31:06 2026,15,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:31:08 2026,16,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Tue Aug 18 06:31:09 2026,17,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0,100, 138, 98, 139, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 163, 1
Tue Aug 18 06:31:09 2026,18,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0,102, 138, 102, 139, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 10, 0, 0, 162, 1
Tue Aug 18 06:31:10 2026,19,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0,102, 139, 100, 139, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 12, 0, 0, 176, 1
Tue Aug 18 06:31:11 2026,20,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0,96, 140, 94, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 13, 0, 0, 186, 1
Tue Aug 18 06:31:12 2026,21,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0,98, 141, 96, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 14, 0, 0, 185, 1
Tue Aug 18 06:31:13 2026,22,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0,96, 140, 96, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 15, 0, 0, 185, 1
Tue Aug 18 06:31:14 2026,23,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0,96, 140, 98, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 16, 0, 0, 186, 1
Tue Aug 18 06:31:15 2026,24,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0,86, 141, 85, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 17, 0, 0, 185, 1
Tue Aug 18 06:31:16 2026,25,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0,88, 141, 85, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 18, 0, 0, 183, 1
Tue Aug 18 06:31:17 2026,26,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0,88, 138, 87, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 19, 0, 0, 183, 1
Tue Aug 18 06:31:18 2026,27,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0,88, 138, 87, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 20, 0, 0, 185, 1
Tue Aug 18 06:31:19 2026,28,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0,88, 139, 89, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 21, 0, 0, 187, 1
Tue Aug 18 06:31:20 2026,29,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0,88, 139, 87, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 22, 0, 0, 183, 1
Tue Aug 18 06:31:21 2026,30,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0,88, 139, 87, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 23, 0, 0, 183, 1
Tue Aug 18 06:31:22 2026,31,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0,88, 138, 87, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 24, 0, 0, 182, 1
Tue Aug 18 06:31:23 2026,32,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0,88, 139, 87, 139, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 25, 0, 0, 185, 1
Tue Aug 18 06:31:24 2026,33,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0,88, 139, 89, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 26, 0, 0, 187, 1
Tue Aug 18 06:31:25 2026,34,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0,90, 139, 92, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 27, 0, 0, 185, 1
Tue Aug 18 06:31:26 2026,35,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0,86, 141, 94, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 28, 0, 0, 185, 1
Tue Aug 18 06:31:27 2026,36,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0,86, 142, 85, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 29, 0, 0, 187, 1
Tue Aug 18 06:31:28 2026,37,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0,100, 141, 98, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 30, 0, 0, 176, 1
Tue Aug 18 06:31:29 2026,38,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0,100, 142, 98, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 31, 0, 0, 176, 1
Tue Aug 18 06:31:30 2026,39,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0,100, 141, 100, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 32, 0, 0, 172, 1
Tue Aug 18 06:31:31 2026,40,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0,102, 142, 100, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 33, 0, 0, 190, 1
Tue Aug 18 06:31:32 2026,41,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0,102, 142, 100, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 34, 0, 0, 191, 1
Tue Aug 18 06:31:32 2026,42,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0,104, 141, 104, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 35, 0, 0, 173, 1
Tue Aug 18 06:31:33 2026,43,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0,100, 142, 100, 142, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 36, 0, 0, 191, 1
Tue Aug 18 06:31:34 2026,44,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0,100, 142, 96, 144, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 37, 0, 0, 192, 1
Tue Aug 18 06:31:35 2026,45,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0,100, 142, 100, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 38, 0, 0, 190, 1
Tue Aug 18 06:31:36 2026,46,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0,100, 142, 98, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 39, 0, 0, 192, 1
Tue Aug 18 06:31:37 2026,47,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0,100, 143, 98, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 40, 0, 0, 193, 1
Tue Aug 18 06:31:38 2026,48,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0,98, 141, 98, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 41, 0, 0, 191, 1
Tue Aug 18 06:31:39 2026,49,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0,98, 140, 98, 143, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 42, 0, 0, 192, 1
Tue Aug 18 06:31:40 2026,50,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0,96, 140, 96, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 43, 0, 0, 192, 1
Tue Aug 18 06:31:41 2026,51,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0,98, 140, 96, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 44, 0, 0, 192, 1
Tue Aug 18 06:31:42 2026,52,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0,98, 140, 96, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 45, 0, 0, 192, 1
Tue Aug 18 06:31:43 2026,53,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0,96, 140, 96, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 46, 0, 0, 194, 1
Tue Aug 18 06:31:44 2026,54,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0,98, 140, 96, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 47, 0, 0, 192, 1
Tue Aug 18 06:31:45 2026,55,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0,98, 140, 96, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 48, 0, 0, 192, 1
Tue Aug 18 06:31:46 2026,56,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0,98, 140, 96, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 49, 0, 0, 193, 1
Tue Aug 18 06:31:47 2026,57,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0,98, 141, 96, 140, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 50, 0, 0, 190, 1
Tue Aug 18 06:31:48 2026,58,7, 3, 5, 20, 0, 100, 1, 4, 1, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0,98, 140, 98, 141, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 51, 0, 0, 188, 1
