Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19
Thu Aug 20 22:54:54 2026,1,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0,24, 155, 23, 161, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1
Thu Aug 20 22:54:59 2026,2,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0,24, 156, 23, 159, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1
Thu Aug 20 22:55:03 2026,3,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0,24, 157, 21, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 1
Thu Aug 20 22:55:07 2026,4,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0,24, 156, 15, 158, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 1
Thu Aug 20 22:55:12 2026,5,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0,18, 163, 17, 162, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 1
Thu Aug 20 22:55:16 2026,6,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0,18, 161, 19, 156, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 0, 1
Thu Aug 20 22:55:20 2026,7,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0,22, 153, 19, 160, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 1
Thu Aug 20 22:55:26 2026,8,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0,9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9
Thu Aug 20 22:55:30 2026,9,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0,24, 158, 17, 153, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 8, 0, 0, 0, 1
Thu Aug 20 22:55:34 2026,10,12, 1, 8, 20, 0, 100, 4, 4, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0,20, 159, 19, 161, 0, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 9, 0, 0, 0, 1
